,lat,long,bikes_available,bikes_in_use,total_bikes
1694,52.508568,13.326437,1,3,4
1695,52.509084,13.325418,3,1,4
1696,52.513743,13.317559,1,3,4
1697,52.505734,13.448553,0,4,4
1698,52.505199,13.449733,6,0,4
1699,52.505731,13.449417,0,4,4
1700,52.503899,13.319689,0,4,4
1701,52.52521,13.392436,4,0,4
1702,52.487625,13.477097,0,4,4
1703,52.515124,13.461814,2,2,4
1704,52.532038,13.407987,2,2,4
1705,52.475347,13.364434,0,4,4
1706,52.519116,13.408532,1,3,4
1707,52.518715,13.407172,1,3,4
1708,52.543702,13.426602,1,3,4
1709,52.499785,13.307378,0,4,4
1710,52.48963,13.352616,1,3,4
1711,52.539999,13.3699,0,4,4
1712,52.520804,13.394453,1,3,4
1713,52.520448,13.403932,0,4,4
1714,52.528815,13.385588,0,4,4
1715,52.510693,13.458406,4,0,4
1716,52.511043,13.460709,3,1,4
1717,52.534276,13.404667,0,4,4
1718,52.532968,13.429778,5,0,4
1719,52.542971,13.434732,0,4,4
1720,52.546919,13.431038,0,4,4
1721,52.547604,13.425501,0,4,4
1722,52.550029,13.42621,1,3,4
1723,52.550843,13.424407,0,4,4
1724,52.548896,13.436698,0,4,4
1725,52.549785,13.434452,0,4,4
1726,52.549385,13.441331,1,3,4
1727,52.54714,13.44764,0,4,4
1728,52.543082,13.441526,0,4,4
1729,52.548791,13.4633,2,2,4
1730,52.546255,13.453931,0,4,4
1731,52.548426,13.456398,0,4,4
1732,52.54861,13.466819,3,1,4
1733,52.551818,13.452609,0,4,4
1734,52.552495,13.449249,0,4,4
1735,52.555752,13.438814,0,4,4
1736,52.557937,13.439343,0,4,4
1737,52.557792,13.433308,0,4,4
1738,52.556706,13.429361,2,2,4
1739,52.558709,13.418207,0,4,4
1740,52.560835,13.422713,0,4,4
1741,52.553908,13.445628,0,4,4
1742,52.552471,13.430711,1,3,4
1743,52.55249,13.427793,0,4,4
1744,52.555138,13.418255,0,4,4
1745,52.555614,13.433923,0,4,4
1746,52.549948,13.453944,0,4,4
1747,52.547451,13.459974,3,1,4
1748,52.539437,13.452492,0,4,4
1749,52.541985,13.4535,0,4,4
1750,52.56126,13.412711,0,4,4
1751,52.485841,13.481694,0,4,4
1752,52.565064,13.41389,0,4,4
1753,52.56676,13.416136,0,4,4
1754,52.567771,13.427312,0,4,4
1755,52.560497,13.427754,0,4,4
1756,52.481143,13.448757,2,2,4
1757,52.491473,13.44667,0,4,4
1758,52.491953,13.450881,1,3,4
1759,52.496565,13.4505,0,4,4
1760,52.503057,13.446895,0,4,4
1761,52.49954,13.463053,0,4,4
1762,52.504569,13.448092,1,3,4
1763,52.502688,13.447759,0,4,4
1764,52.500512,13.441013,0,4,4
1765,52.494262,13.460581,0,4,4
1766,52.508003,13.435748,0,4,4
1767,52.502768,13.475459,1,3,4
1768,52.504262,13.479259,2,2,4
1769,52.505266,13.471411,0,4,4
1770,52.503277,13.473414,0,4,4
1771,52.516887,13.383703,3,1,4
1772,52.508379,13.37446,2,2,4
1773,52.504811,13.476715,0,4,4
1774,52.505183,13.475167,0,4,4
1775,52.507928,13.474764,3,1,4
1776,52.541718,13.337369,0,4,4
1777,52.54019,13.346867,2,2,4
1778,52.539172,13.345496,0,4,4
1779,52.544273,13.354746,0,4,4
1780,52.486713,13.451128,1,3,4
1781,52.47405,13.44277,1,3,4
1782,52.501884,13.440302,1,3,4
1783,52.461844,13.440477,0,4,4
1784,52.462991,13.437598,0,4,4
1785,52.465745,13.426795,0,4,4
1786,52.455523,13.429067,0,4,4
1787,52.491538,13.488185,0,4,4
1788,52.504833,13.442314,3,1,4
1789,52.509097,13.432723,0,4,4
1790,52.507079,13.413207,0,4,4
1791,52.502642,13.446289,0,4,4
1792,52.489124,13.453472,1,3,4
1793,52.471058,13.441075,0,4,4
1794,52.472171,13.43923,0,4,4
1795,52.469292,13.4304,0,4,4
1796,52.468197,13.432927,1,3,4
1797,52.471616,13.435298,0,4,4
1798,52.509802,13.351538,0,4,4
1799,52.466267,13.4385,0,4,4
1800,52.465907,13.434235,2,2,4
1801,52.46823,13.441779,1,3,4
1802,52.467807,13.442345,1,3,4
1803,52.465047,13.436931,0,4,4
1804,52.511428,13.445441,1,3,4
1805,52.50981,13.37749,0,4,4
1806,52.51633,13.38131,0,4,4
1807,52.51104,13.38126,1,3,4
