,name,distance_meters,category,rating,lat,long,origin
0,Assatir,72.42510045223734,Fast Food,4.0,52.4944996,13.323741,"52.493896,13.324143"
0,Amberd,134.88210956857716,Russian,3.5,52.493,13.3228,"52.493896,13.324143"
0,Pho Bay,46.02492371676575,Vietnamese,4.5,52.4865953,13.3233281,"52.48671,13.322675"
0,Sushi Miyabi,45.339543368066735,Sushi Bars,3.5,52.4871097521897,13.3228069614394,"52.48671,13.322675"
0,Westburger,22.75936586719419,Burgers,4.0,52.4869,13.3228,"52.48671,13.322675"
0,Bobsek Burger,67.15221277816782,Burgers,4.0,52.48679,13.323658,"52.48671,13.322675"
0,Deluxe Back,28.7988941881431,Bakeries,3.5,52.4867,13.3231,"52.48671,13.322675"
0,Max & Moritz,5.303942209257552,Falafel,2.5,52.4867219694567,13.3227508251313,"52.48671,13.322675"
0,Veloce Pizza e Pasta,104.15930134658146,Pizza,4.5,52.4863236003593,13.3212736984253,"52.48671,13.322675"
0,Francesco Forgione,69.21746270959183,Pizza,4.0,52.4873236364366,13.3228467800977,"52.48671,13.322675"
0,Uhland Eck,17.839813302589366,German,5.0,52.4866676966534,13.3229291439056,"52.48671,13.322675"
0,Euro-Asia Imbiss,33.70374989082624,Pan Asian,2.5,52.48693,13.3228,"52.48671,13.322675"
0,Mittenmang,63.591500580956584,Dive Bars,4.0,52.48699,13.32356,"52.48671,13.322675"
0,Parkcafé Berlin,101.98523908563168,Cafes,3.5,52.49118,13.314437,"52.490558,13.31333"
0,Cafe & Grill,11.452203494092487,Kebab,4.5,52.490658534247,13.3133667334914,"52.490558,13.31333"
0,Carnivore Wochenmarkt-Stand,60.05172649310453,Fast Food,5.0,52.4901,13.3138,"52.490558,13.31333"
0,Truc-xinh,57.82025300979944,Vietnamese,5.0,52.4904164997054,13.3141517661315,"52.490558,13.31333"
0,Engel's Imbiss,103.57971387236482,Curry Sausage,4.0,52.4903,13.3148,"52.490558,13.31333"
0,Safran Grill,13.030054752939987,Kebab,4.0,52.4906632296171,13.3134146779776,"52.490558,13.31333"
0,BoBarlicious Tea & Coffee Bar,64.17171517123043,Juice Bars & Smoothies,5.0,52.4905904304532,13.3142763071822,"52.490558,13.31333"
0,City Imbiss,49.56335595371761,Kebab,3.5,52.493691,13.310345,"52.494009,13.309832"
0,Orchidee Asiatisches Restaurant,73.80297059594517,Pan Asian,3.5,52.5054299,13.30203,"52.505249,13.30296"
0,Maximilian,89.30620529257514,Fast Food,4.0,52.5058,13.302,"52.505249,13.30296"
0,Albert's,73.84726778763165,Cocktail Bars,3.5,52.505497075341,13.3019478991628,"52.505249,13.30296"
0,Café Rossia,32.706133176376866,Russian,2.5,52.50501,13.3025,"52.505249,13.30296"
0,Jazzmin,85.46890566384072,Bars,3.5,52.5053,13.3017,"52.505249,13.30296"
0,Mathe Café,41.70785103510558,Cafes,4.0,52.5134,13.3268,"52.513071,13.326504"
0,Personalkantine der TU Berlin,32.73529454727395,Canteen,4.0,52.5133,13.3262,"52.513071,13.326504"
0,Wetterleuchten,102.53318682880082,Cafeteria,3.5,52.51231,13.32698,"52.513071,13.326504"
0,Café LebensArt,18.268064065248943,Cafes,3.0,52.511902,13.376627,"52.512066,13.376611"
0,Ottobock,89.29854913737344,Museums,4.0,52.511372,13.377275,"52.512066,13.376611"
0,Ernst-Reuter-Platz,108.53298251626815,Landmarks & Historical Buildings,3.5,52.5126155588313,13.321914103595,"52.513434,13.322788"
0,Cafeteria im Institut für Architektur,62.1527370030787,Cafes,4.0,52.5137192071088,13.3235779032111,"52.513434,13.322788"
0,Eleven,49.70095695814565,Bars,3.5,52.50946,13.37975,"52.509809,13.379384"
0,Thanh Koch,100.17745269905689,Vietnamese,4.0,52.5103932377631,13.3805108070374,"52.509809,13.379384"
0,Beef Grill Club,50.83501278058659,Steakhouses,3.0,52.51026,13.379507,"52.509809,13.379384"
0,Vedang Plant Burger,49.30876670363641,Vegan,4.0,52.51024222,13.37953956,"52.509809,13.379384"
0,Deutsches Spionagemuseum,96.9488415669623,Museums,3.5,52.5089391400549,13.3792864730164,"52.509809,13.379384"
0,Hauptstadtburger,101.91855594221232,Burgers,3.5,52.5103763816215,13.3805667621796,"52.509809,13.379384"
0,Giovanni Rana,31.820742012287607,Food Court,4.0,52.5100232,13.3796958,"52.509809,13.379384"
0,WonderWaffel,85.83533173903297,Waffles,3.5,52.510117,13.380547,"52.509809,13.379384"
0,Best Curry Berlin,105.31683149384487,Curry Sausage,4.5,52.510495,13.380457,"52.509809,13.379384"
0,Boussi Falafel,22.305197280032782,Falafel,4.0,52.5098860947461,13.3796882746298,"52.509809,13.379384"
0,Frittenwerk,119.38434579351586,Fast Food,4.5,52.51014,13.37953,"52.509809,13.379384"
0,McDonald's,51.737550356359414,Burgers,3.0,52.51026001,13.37957193,"52.509809,13.379384"
0,3CO Thai streetfood,95.8588704886519,Thai,3.0,52.5104645332927,13.3803039056961,"52.509809,13.379384"
0,Nice - Süße Eiszeit,119.38434579351586,Ice Cream & Frozen Yogurt,5.0,52.51014,13.37953,"52.509809,13.379384"
0,Van Long Soup Sensation,119.38434579351586,Vietnamese,4.0,52.50997,13.37965,"52.509809,13.379384"
0,Einstein Kaffee,80.51317007198024,Coffee & Tea,3.5,52.510452,13.379931,"52.509809,13.379384"
0,Hasir Burger,69.96963426141697,Burgers,2.5,52.510307,13.380016,"52.509809,13.379384"
0,Humus,119.38434579351586,Sandwiches,4.5,52.50997,13.37965,"52.509809,13.379384"
0,Marea,77.20923570736693,Italian,3.5,52.50918,13.37962,"52.509809,13.379384"
0,Aki Running Sushi,106.6081897932436,Sushi Bars,2.0,52.510346,13.380689,"52.509809,13.379384"
0,Café Lucre,119.38434579351586,Patisserie/Cake Shop,3.0,52.50997,13.37965,"52.509809,13.379384"
0,Berlin Coffee,122.40020551931038,Coffee & Tea,3.0,52.510486721556,13.3808092,"52.509809,13.379384"
0,Bombay Xpress,102.73326778878808,Indian,3.5,52.5105557037457,13.3802779684885,"52.509809,13.379384"
0,Vinatown,69.50837353256904,Pan Asian,2.5,52.510121,13.380274,"52.509809,13.379384"
0,Hotalo,119.38434579351586,Fast Food,3.5,52.50997,13.37965,"52.509809,13.379384"
0,Harry's Deutsche Küche,129.55336099915974,German,3.0,52.510617189668,13.3807628933273,"52.509809,13.379384"
0,KFC,18.256010645491784,Fast Food,1.5,52.5099476,13.3795286,"52.509809,13.379384"
0,La Pagila,82.36887515016699,Italian,3.0,52.5104504146182,13.3799928533967,"52.509809,13.379384"
0,Taste Away,88.8479658968355,Bakeries,2.0,52.5100183720815,13.3806509738775,"52.509809,13.379384"
